timestamp,schema_name,table_name,oracle_rows,oracle_cols,postgres_rows,postgres_cols,status,details
2025-07-05 18:42:42,GST_REGISTRATION,gst_api_ret_3B_dt,3059,1,3059,1,SUCCESS,Row & column counts match.
2025-07-05 18:42:46,GST_REGISTRATION,gst_api_ret_3B_count,2972,4,2972,4,SUCCESS,Row & column counts match.
2025-07-05 18:51:06,GST_REGISTRATION,GST_API_RET_3B_DETAILS,66701,5,66701,5,SUCCESS,Row & column counts match.
2025-07-05 19:37:47,GST_REGISTRATION,gst_api_ret_3B_sup_details,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 19:50:10,GST_REGISTRATION,gst_api_ret_3B_inward_sup_isup,9538438,7,9538438,7,SUCCESS,Row & column counts match.
2025-07-05 20:47:58,GST_REGISTRATION,gst_api_ret_3B_itc_elg_inelg,56436080,9,56436080,9,SUCCESS,Row & column counts match.
2025-07-05 21:08:21,GST_REGISTRATION,gst_api_ret_3B_sup_details,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:08:41,GST_REGISTRATION,gst_api_ret_3B_qn,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:10,GST_REGISTRATION,gst_api_ret_3B_tx_pmt_py,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:21,GST_REGISTRATION,gst_api_ret_3B_tx_pmt_pdcash,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:33,GST_REGISTRATION,gst_api_ret_3B_tx_pmt_pditc,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:49,GST_REGISTRATION,gst_api_ret_3B_intr_ltfee,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:52,GST_REGISTRATION,GST_API_RET_3B_SYS_INT,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:54,GST_REGISTRATION,GST_API_RET_3B_INT_BREAKUP,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:55,GST_REGISTRATION,GST_API_RET_3B_INT_BREAKUP_CLN,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:58,GST_REGISTRATION,GST_API_RET_3B_INT_BREAKUP_RTS,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-05 21:09:59,GST_REGISTRATION,GST_API_RET_3B_LIAB_BREAKUP,-1,-1,-1,-1,FAILED,Error during table replication process.
